clusterId;exampleTweet;tree-5;tree-10;tree2;linear-svm;poly-svm;rbf-svm;sigmoid-svm;tree-5-no5;tree-10-no5;tree2-no5;linear-svm-no5;poly-svm-no5;rbf-svm-no5;sigmoid-svm-no5;tree-majority;svm-majority
1;"rebel-held zone of syria's aleppo braces for renewed bombardment ";1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
1;"rebel-held zone of syria's aleppo braces for renewed bombardment ";1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
1;"rebel-held zone of syria's aleppo braces for renewed bombardment ";1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
2;"rebel-held zone of syria’s aleppo braces for renewed bombardment  ";1;0;0;1;1;1;1;1;1;0;1;1;1;1;0;1
2;"rebel-held zone of syria's aleppo braces for renewed bombardment - daily mail via  world";1;0;0;1;1;1;1;1;1;0;1;1;1;1;0;1
2;"rebel-held zone of syria's aleppo braces for renewed bombardment - daily mail ";1;0;0;1;1;1;1;1;1;0;1;1;1;1;0;1
3;"u.n. says can't use russian aleppo pause to send aid ";0;0;0;1;1;1;1;0;0;0;1;1;1;1;0;1
3;"u.n. says can't use russian aleppo pause to send aid  البحرين arabspring القدس";0;0;0;1;1;1;1;0;0;0;1;1;1;1;0;1
3;"u.n. says can't use russian aleppo pause to send aid ";0;0;0;1;1;1;1;0;0;0;1;1;1;1;0;1
4;"u.n. says can't use russian aleppo pause to send aid  usa bbc politics";0;0;0;1;1;1;1;0;0;0;1;1;1;1;0;1
4;"u.n. says can't use russian aleppo pause to send aid  australia reuters";0;0;0;1;1;1;1;0;0;0;1;1;1;1;0;1
4;"u.n. says can't use russian aleppo pause to send aid via /r/worldnews ";0;0;0;1;1;1;1;0;0;0;1;1;1;1;0;1
5;"un says can't use russian aleppo pause to send aid - thomson reuters foundation  indianews";0;1;1;1;1;1;1;0;0;0;1;1;1;1;0;1
5;"un says can’t use russian aleppo pause to send aid – thomson reuters foundation ";0;1;1;1;1;1;1;0;0;0;1;1;1;1;0;1
5;" u.n. says can't use russian aleppo pause to...  cute wcw follow ";0;1;1;1;1;1;1;0;0;0;1;1;1;1;0;1
6;""‘i saw my father dying’: a view from aleppo’s government-held side" by anne barnard via nyt the new york times ";0;0;0;1;1;1;1;0;0;0;1;1;1;1;0;1
6;""‘i saw my father dying’: a view from aleppo’s government-held side" by anne barnard via nyt the new york times ";0;0;0;1;1;1;1;0;0;0;1;1;1;1;0;1
6;""‘i saw my father dying’: a view from aleppo’s government-held side" by anne barnard via nyt the new york times ";0;0;0;1;1;1;1;0;0;0;1;1;1;1;0;1
7;"new york (ny) times: &amp;x2018;i saw my father dying': a view from aleppo&amp;x2019;s government-held side";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
7;"en otras noticias: ‘i saw my father dying’: a view from aleppo’s government-held side  xalapa";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
7;"en otras noticias: ‘i saw my father dying’: a view from aleppo’s government-held side  xalapa";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
8;""‘i saw my father dying’: a view from aleppo’s government-held side" ";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
8;""‘i saw my father dying’: a view from aleppo’s government-held side" by anne barnard via n…  ";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
8;""‘i saw my father dying’: a view from aleppo’s government-held side" by anne barnard via n…  ";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
9;""‘i saw my father dying’: a view from aleppo’s government-held side" von anne barnard in der nyt the new york times ";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
9;""‘i saw my father dying’: a view from aleppo’s government-held side" the new york times  g… ";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
9;"yaadlinksradio: "‘i saw my father dying’: a view from aleppo’s government-held side" by anne barnard via nyt the n… ";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
10;"aleppo evacuations to fall flat, rebels prevent any exit: syria official ";1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
10;"aleppo evacuations to fall flat, rebels prevent any exit: syria official ";1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
10;"aleppo evacuations to fall flat, rebels prevent any exit: syria official  ";1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
11;"aleppo evacuations to fall flat, rebels prevent any exit - s world haber  ";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
11;"centcom alepposiege russia reuters: aleppo evacuations to fall flat, jfs prevent any exit: syria official ";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
11;"aleppo evacuations to fall flat, rebels prevent any exit - s world haber  ";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
12;"aleppo evacuations to fall flat, rebels prevent any exit: syrian official  ";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
12;"syrian official aleppo evacuations to fall flat, rebels prevent any exit!";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
12;"ucwradio  aleppo evacuations to fall flat, rebels prevent any exit: syria official  news";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
13;"rebel-held zone of syria's aleppo braces for renewed bombardment: beirut (reuters) - syrian rebels and…  skibabs360";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
13;"rebel-held zone of syria's aleppo braces for renewed bombardment: beirut (reuters) - syrian rebels…  news reuters";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
