clusterId,exampleTweet;tree-5;tree-10;tree2;linear-svm;poly-svm;rbf-svm;sigmoid-svm
41;"breaking syria rebels shell aleppo evacuation route: state tv";ClusterClass.denied;ClusterClass.confirmed;ClusterClass.confirmed;ClusterClass.confirmed;ClusterClass.confirmed;ClusterClass.confirmed;ClusterClass.confirmed
41;"breaking syria rebels shell aleppo evacuation route: state tv ";ClusterClass.denied;ClusterClass.confirmed;ClusterClass.confirmed;ClusterClass.confirmed;ClusterClass.confirmed;ClusterClass.confirmed;ClusterClass.confirmed
41;"breaking syria rebels shell aleppo evacuation route: state tv";ClusterClass.denied;ClusterClass.confirmed;ClusterClass.confirmed;ClusterClass.confirmed;ClusterClass.confirmed;ClusterClass.confirmed;ClusterClass.confirmed
105;". please save the innocent people of aleppo! sanction russia immediately and implement a no-fly zone! eusavealeppo";ClusterClass.denied;ClusterClass.denied;ClusterClass.denied;ClusterClass.denied;ClusterClass.denied;ClusterClass.denied;ClusterClass.denied
105;".please save the innocent people of aleppo! sanction russia immediately and implement a no-fly zone! eusavealeppo";ClusterClass.denied;ClusterClass.denied;ClusterClass.denied;ClusterClass.denied;ClusterClass.denied;ClusterClass.denied;ClusterClass.denied
105;".please save the innocent people of aleppo! sanction russia immediately and implement a no-fly zone!";ClusterClass.denied;ClusterClass.denied;ClusterClass.denied;ClusterClass.denied;ClusterClass.denied;ClusterClass.denied;ClusterClass.denied
9;"yaadlinksradio: "‘i saw my father dying’: a view from aleppo’s government-held side" by anne barnard via nyt the n… ";ClusterClass.denied;ClusterClass.denied;ClusterClass.denied;ClusterClass.denied;ClusterClass.denied;ClusterClass.denied;ClusterClass.denied
9;"worldnews: ‘i saw my father dying’: a view from aleppo’s government-held side ";ClusterClass.denied;ClusterClass.denied;ClusterClass.denied;ClusterClass.denied;ClusterClass.denied;ClusterClass.denied;ClusterClass.denied
9;""‘i saw my father dying’: a view from aleppo’s government-held side"  therealnenye trnblog";ClusterClass.denied;ClusterClass.denied;ClusterClass.denied;ClusterClass.denied;ClusterClass.denied;ClusterClass.denied;ClusterClass.denied
62;"czech fm announces financial aid for a number of children in aleppo ";ClusterClass.denied;ClusterClass.denied;ClusterClass.denied;ClusterClass.confirmed;ClusterClass.confirmed;ClusterClass.confirmed;ClusterClass.confirmed
62;"czech fm announces financial aid for a number of children in aleppo 
 via ";ClusterClass.denied;ClusterClass.denied;ClusterClass.denied;ClusterClass.confirmed;ClusterClass.confirmed;ClusterClass.confirmed;ClusterClass.confirmed
62;"czech fm announces financial aid for a number of children in aleppo ";ClusterClass.denied;ClusterClass.denied;ClusterClass.denied;ClusterClass.confirmed;ClusterClass.confirmed;ClusterClass.confirmed;ClusterClass.confirmed
155;"aleppo vid: terrorists break truce, syrian forces, russian jet responded  via syria";ClusterClass.denied;ClusterClass.denied;ClusterClass.denied;ClusterClass.confirmed;ClusterClass.confirmed;ClusterClass.confirmed;ClusterClass.confirmed
155;"aleppo vid: terrorists break truce, syrian forces, russian jet responded  via ";ClusterClass.denied;ClusterClass.denied;ClusterClass.denied;ClusterClass.confirmed;ClusterClass.confirmed;ClusterClass.confirmed;ClusterClass.confirmed
155;"aleppo vid: terrorists break truce, syrian forces, russian jet responded  ";ClusterClass.denied;ClusterClass.denied;ClusterClass.denied;ClusterClass.confirmed;ClusterClass.confirmed;ClusterClass.confirmed;ClusterClass.confirmed
18;"russian military streaming pics of humanitarian corridors for militants
aleppo syria 
";ClusterClass.confirmed;ClusterClass.confirmed;ClusterClass.confirmed;ClusterClass.confirmed;ClusterClass.confirmed;ClusterClass.confirmed;ClusterClass.confirmed
18;"aleppo: russian military streaming pics of humanitarian corridors for militants live ";ClusterClass.confirmed;ClusterClass.confirmed;ClusterClass.confirmed;ClusterClass.confirmed;ClusterClass.confirmed;ClusterClass.confirmed;ClusterClass.confirmed
18;"aleppo: russian military streaming pics of humanitarian corridors for militants live ";ClusterClass.confirmed;ClusterClass.confirmed;ClusterClass.confirmed;ClusterClass.confirmed;ClusterClass.confirmed;ClusterClass.confirmed;ClusterClass.confirmed
123;"displaced children in aleppo. children continue to bear the brunt of the violence in syria ";ClusterClass.denied;ClusterClass.denied;ClusterClass.denied;ClusterClass.confirmed;ClusterClass.confirmed;ClusterClass.confirmed;ClusterClass.confirmed
123;"from the children of aleppo ";ClusterClass.denied;ClusterClass.denied;ClusterClass.denied;ClusterClass.confirmed;ClusterClass.confirmed;ClusterClass.confirmed;ClusterClass.confirmed
123;"'no fly zone' propaganda: crocodile tears for the 'children of aleppo'  via ";ClusterClass.denied;ClusterClass.denied;ClusterClass.denied;ClusterClass.confirmed;ClusterClass.confirmed;ClusterClass.confirmed;ClusterClass.confirmed
104;"amaqagency second turkish tank damaged after targeting it with a guided missile in the village talil akhtarin aleppo fıratkalkanı 1 tank🚮";ClusterClass.confirmed;ClusterClass.confirmed;ClusterClass.confirmed;ClusterClass.confirmed;ClusterClass.confirmed;ClusterClass.confirmed;ClusterClass.confirmed
104;"amaqagency second turkish tank damaged after targeting it with a guided missile in the village talil akhtarin aleppo fıratkalkanı 1 tank🚮";ClusterClass.confirmed;ClusterClass.confirmed;ClusterClass.confirmed;ClusterClass.confirmed;ClusterClass.confirmed;ClusterClass.confirmed;ClusterClass.confirmed
104;"is target a turkish tank south of akhtarin, north aleppo ";ClusterClass.confirmed;ClusterClass.confirmed;ClusterClass.confirmed;ClusterClass.confirmed;ClusterClass.confirmed;ClusterClass.confirmed;ClusterClass.confirmed
99;"in response to moscow’s truce…the opposition
 launches 'aleppo battle 2'

 ";ClusterClass.denied;ClusterClass.denied;ClusterClass.denied;ClusterClass.denied;ClusterClass.denied;ClusterClass.denied;ClusterClass.denied
99;"in response to moscow’s truce…the opposition launches 'aleppo battle 2'

 ";ClusterClass.denied;ClusterClass.denied;ClusterClass.denied;ClusterClass.denied;ClusterClass.denied;ClusterClass.denied;ClusterClass.denied
99;"in response to moscow’s truce…the opposition launches 'aleppo battle 2'

 ";ClusterClass.denied;ClusterClass.denied;ClusterClass.denied;ClusterClass.denied;ClusterClass.denied;ClusterClass.denied;ClusterClass.denied
32;"bbc news - syria conflict: russia tells rebels to leave aleppo ";ClusterClass.confirmed;ClusterClass.confirmed;ClusterClass.confirmed;ClusterClass.confirmed;ClusterClass.confirmed;ClusterClass.confirmed;ClusterClass.confirmed
32;"syria conflict: russia tells rebels to leave aleppo - bbc news ";ClusterClass.confirmed;ClusterClass.confirmed;ClusterClass.confirmed;ClusterClass.confirmed;ClusterClass.confirmed;ClusterClass.confirmed;ClusterClass.confirmed
32;"russia tells rebels to leave syria's aleppo by friday evening - russia and the syrian army on wednesday... ";ClusterClass.confirmed;ClusterClass.confirmed;ClusterClass.confirmed;ClusterClass.confirmed;ClusterClass.confirmed;ClusterClass.confirmed;ClusterClass.confirmed
51;"10-hour humanitarian pause begins in syria's aleppo, russian defense ministry says - interfax via ";ClusterClass.confirmed;ClusterClass.confirmed;ClusterClass.confirmed;ClusterClass.confirmed;ClusterClass.confirmed;ClusterClass.confirmed;ClusterClass.confirmed
51;"russian defense ministry says situation in iraqi mosul is nothing like in syria's aleppo ";ClusterClass.confirmed;ClusterClass.confirmed;ClusterClass.confirmed;ClusterClass.confirmed;ClusterClass.confirmed;ClusterClass.confirmed;ClusterClass.confirmed
51;"10-hour humanitarian pause begins in syria's aleppo, russian defense ministry says - interfax via ";ClusterClass.confirmed;ClusterClass.confirmed;ClusterClass.confirmed;ClusterClass.confirmed;ClusterClass.confirmed;ClusterClass.confirmed;ClusterClass.confirmed
159;"syria: commander of terrorists' anti-aircraft regiment killed in aleppo   ";ClusterClass.denied;ClusterClass.denied;ClusterClass.confirmed;ClusterClass.confirmed;ClusterClass.confirmed;ClusterClass.confirmed;ClusterClass.confirmed
